slang,formal,context,category1,category2,category3
org,orang,Kali ini nontonx ga perlu pake bolos sekolah buat ngantri bli tiket.. Tp ga ada 8 org gebetan lg yg nraktir nonton sbnyak 8 kali.. Penasaraaann ga sabar liat kak @therealdisastr ????,abreviasi,0,0
nraktir,mentraktir,Kali ini nontonx ga perlu pake bolos sekolah buat ngantri bli tiket.. Tp ga ada 8 org gebetan lg yg nraktir nonton sbnyak 8 kali.. Penasaraaann ga sabar liat kak @therealdisastr ????,afiksasi,0,0
nonton,menonton,Kali ini nontonx ga perlu pake bolos sekolah buat ngantri bli tiket.. Tp ga ada 8 org gebetan lg yg nraktir nonton sbnyak 8 kali.. Penasaraaann ga sabar liat kak @therealdisastr ????,afiksasi,0,0
sbnyak,sebanyak,Kali ini nontonx ga perlu pake bolos sekolah buat ngantri bli tiket.. Tp ga ada 8 org gebetan lg yg nraktir nonton sbnyak 8 kali.. Penasaraaann ga sabar liat kak @therealdisastr ????,abreviasi,0,0
penasaraaann,penasaran,Kali ini nontonx ga perlu pake bolos sekolah buat ngantri bli tiket.. Tp ga ada 8 org gebetan lg yg nraktir nonton sbnyak 8 kali.. Penasaraaann ga sabar liat kak @therealdisastr ????,elongasi,0,0
ga,enggak,Kali ini nontonx ga perlu pake bolos sekolah buat ngantri bli tiket.. Tp ga ada 8 org gebetan lg yg nraktir nonton sbnyak 8 kali.. Penasaraaann ga sabar liat kak @therealdisastr ????,abreviasi,zeroisasi,0
kyk,kayak,Kita nonton bareng lagi yuk kyk dulu @fitripuspitavidyarini :D,abreviasi,0,0
ayoooo,ayo,"Ayoooo @vienaparamitha ... Harus nonton ... Sekarang udah gaya nii nontonya k bioskop,,kl dulu nunggu dpt vcd,wkkwkk..",elongasi,0,0
nii,ini,"Ayoooo @vienaparamitha ... Harus nonton ... Sekarang udah gaya nii nontonya k bioskop,,kl dulu nunggu dpt vcd,wkkwkk..",elongasi,0,0
nontonya,menontonnya,"Ayoooo @vienaparamitha ... Harus nonton ... Sekarang udah gaya nii nontonya k bioskop,,kl dulu nunggu dpt vcd,wkkwkk..",afiksasi,0,0
k,ke,"Ayoooo @vienaparamitha ... Harus nonton ... Sekarang udah gaya nii nontonya k bioskop,,kl dulu nunggu dpt vcd,wkkwkk..",abreviasi,word-value letter,0
kl,kalau,"Ayoooo @vienaparamitha ... Harus nonton ... Sekarang udah gaya nii nontonya k bioskop,,kl dulu nunggu dpt vcd,wkkwkk..",abreviasi,0,0
nunggu,menunggu,"Ayoooo @vienaparamitha ... Harus nonton ... Sekarang udah gaya nii nontonya k bioskop,,kl dulu nunggu dpt vcd,wkkwkk..",afiksasi,0,0
dpt,dapat,"Ayoooo @vienaparamitha ... Harus nonton ... Sekarang udah gaya nii nontonya k bioskop,,kl dulu nunggu dpt vcd,wkkwkk..",abreviasi,0,0
qta,kita,"Ia ini pritt @goprittz , sebelum qta ke jogja gw peen tag in ini ke lw. Gga sabar buat nunggu sekuel nya yaah..",homofon,abreviasi,0
gw,gue,"Ia ini pritt @goprittz , sebelum qta ke jogja gw peen tag in ini ke lw. Gga sabar buat nunggu sekuel nya yaah..",homofon,abreviasi,0
peen,pengin,"Ia ini pritt @goprittz , sebelum qta ke jogja gw peen tag in ini ke lw. Gga sabar buat nunggu sekuel nya yaah..",abreviasi,0,0
lw,lu,"Ia ini pritt @goprittz , sebelum qta ke jogja gw peen tag in ini ke lw. Gga sabar buat nunggu sekuel nya yaah..",subtitusi,homofon,0
gga,enggak,"Ia ini pritt @goprittz , sebelum qta ke jogja gw peen tag in ini ke lw. Gga sabar buat nunggu sekuel nya yaah..",abreviasi,zeroisasi,0
nunggu,menunggu,"Ia ini pritt @goprittz , sebelum qta ke jogja gw peen tag in ini ke lw. Gga sabar buat nunggu sekuel nya yaah..",afiksasi,0,0
yaah,ya,"Ia ini pritt @goprittz , sebelum qta ke jogja gw peen tag in ini ke lw. Gga sabar buat nunggu sekuel nya yaah..",anaptiksis,elongasi,0
asikkk,asik,@hermaa08 iki saaiiii...woi....akhhggtthhhh..asikkk,elongasi,0,0
gilak,gila,OMG SAMA TANN AKU JG GASABAR GILAK. GIVE THE BEST TANTE DIANNN PLEASEE??? hehe?,anaptiksis,0,0
mcm,macam,@myaayesha she's so pretty tho. Mcm anak dara lagi ?,abreviasi,0,0
ceritax,ceritanya,@oktasintya iseng bgt lu...hahhaha... mudahan ceritax gak ketebak....,word-value letter,0,0
yoooiii,yoi,@a_rosyidin @rpramudiarta @ashimadzorif yoooiii insyaAllah daah,elongasi,0,0
daah,deh,@a_rosyidin @rpramudiarta @ashimadzorif yoooiii insyaAllah daah,elongasi,modifikasi vokal,0
kuy,yuk,@okidms kuy,metatesis,0,0
udahh,sudah,UDAHH TAUUUUU AKKKKKKK NGGA SABARRRRR,zeroisasi,elongasi,0
tauuuuu,tau,UDAHH TAUUUUU AKKKKKKK NGGA SABARRRRR,elongasi,0,0
ngga,enggak,UDAHH TAUUUUU AKKKKKKK NGGA SABARRRRR,zeroisasi,0,0
sabarrrrr,sabar,UDAHH TAUUUUU AKKKKKKK NGGA SABARRRRR,elongasi,0,0
kqmu,kamu,Apa yg selalu buat hati kamu seneng??? Dan apa juga yg kqmu banggain dari mama papa kamu naura? mohon jawab ok,salah ketik,0,0
banggain,banggakan,Apa yg selalu buat hati kamu seneng??? Dan apa juga yg kqmu banggain dari mama papa kamu naura? mohon jawab ok,afiksasi,0,0
ngadain,mengadakan,"Nau kamu klo bisa ngadain konser dongeng di 3 negara kamu mau di negara apa?semoga bisa tercapai ya nau,amin #nauraQnA7#ARNA#nauratv#nauraQnA @aku_naura",afiksasi,0,0
ngak,enggak,Suka sama squishy ngak? Alasanya?,abreviasi,0,0
ngadain,mengadakan,"Apasih kebanggaan kamu bisa sukses ngadain #konserdongeng1 , dengan umur kamu yg masih 10 thn , dan knp kamu pengan ngadain konser lagi. #nauraQnA",afiksasi,0,0
thn,tahun,"Apasih kebanggaan kamu bisa sukses ngadain #konserdongeng1 , dengan umur kamu yg masih 10 thn , dan knp kamu pengan ngadain konser lagi. #nauraQnA",abreviasi,0,0
knp,kenapa,"Apasih kebanggaan kamu bisa sukses ngadain #konserdongeng1 , dengan umur kamu yg masih 10 thn , dan knp kamu pengan ngadain konser lagi. #nauraQnA",abreviasi,0,0
pengan,pengin,"Apasih kebanggaan kamu bisa sukses ngadain #konserdongeng1 , dengan umur kamu yg masih 10 thn , dan knp kamu pengan ngadain konser lagi. #nauraQnA",modifikasi vokal,0,0
ngadain,mengadakan,"Apasih kebanggaan kamu bisa sukses ngadain #konserdongeng1 , dengan umur kamu yg masih 10 thn , dan knp kamu pengan ngadain konser lagi. #nauraQnA",afiksasi,0,0
gk,enggak,"Apasih kebanggaan kamu bisa sukses ngadain #konserdongeng1 , dengan umur kamu yg masih 10 thn , dan knp kamu pengan ngadain konser lagi. #nauraQnA",abreviasi,0,0
sendeng,senang,Naura sebenernya kamu seneng gak punya fens banyak ? Terus kamu mau gak kalo misalnya lg meet and grea terus mau foto bareng sampe kamu di peluk peluk ? Kamu mau gak tampil untuk ulang tahun orang lain? Terus kalo kamu dapet hadiah dari fans Sendeng gak sampe di simpen baik baik ?,salah ketik,modifikasi vokal,0
simpen,simpan,Naura sebenernya kamu seneng gak punya fens banyak ? Terus kamu mau gak kalo misalnya lg meet and grea terus mau foto bareng sampe kamu di peluk peluk ? Kamu mau gak tampil untuk ulang tahun orang lain? Terus kalo kamu dapet hadiah dari fans Sendeng gak sampe di simpen baik baik ?,modifikasi vokal,0,0
gakk,enggak,Pas lg latihan pernah salah lirik gakk? #nauraqna,zeroisasi,elongasi,0
bagiin,bagikan,"Nau,apa sih yang ingin kamu bagiin ke temannaura atas terimakasihnya...? Nau,apa yang bikin kamu bangga sama temannaura...? #nauraQnA",afiksasi,0,0
nangis,menangis,Naura kapan pertama kalinya kamu nangis terharu karena hasil kerja kerasmu?,afiksasi,0,0
nanggepin,menanggapi,"Nau apa sih suka dukanya kalau jadi penyanyi kaya kamu, kamu nanggepin haters gk?? #NauraQnA",afiksasi,0,0
pingin,pengin,Naura Kamu Pingin punya adek lagi gk? @aku_naura  #nauraqna,modifikasi vokal,0,0
gk,enggak,Naura Kamu Pingin punya adek lagi gk? @aku_naura  #nauraqna,abreviasi,0,0
sma,sama,Naura kamu suka squishy sma slime gk? Sma... kapn nih nau bikin event jadi temennaura busa kirim barang2 sma kamu..lagi pingin kirimin kamu barang tpi gk tau alamatnya d man?#nauraQnA @aku_naura,abreviasi,0,0
kapn,kapan,Naura kamu suka squishy sma slime gk? Sma... kapn nih nau bikin event jadi temennaura busa kirim barang2 sma kamu..lagi pingin kirimin kamu barang tpi gk tau alamatnya d man?#nauraQnA @aku_naura,abreviasi,0,0
barang2,barang-barang,Naura kamu suka squishy sma slime gk? Sma... kapn nih nau bikin event jadi temennaura busa kirim barang2 sma kamu..lagi pingin kirimin kamu barang tpi gk tau alamatnya d man?#nauraQnA @aku_naura,reduplikasi,0,0
sma,sama,Naura kamu suka squishy sma slime gk? Sma... kapn nih nau bikin event jadi temennaura busa kirim barang2 sma kamu..lagi pingin kirimin kamu barang tpi gk tau alamatnya d man?#nauraQnA @aku_naura,abreviasi,0,0
kirimin,mengirimi,Naura kamu suka squishy sma slime gk? Sma... kapn nih nau bikin event jadi temennaura busa kirim barang2 sma kamu..lagi pingin kirimin kamu barang tpi gk tau alamatnya d man?#nauraQnA @aku_naura,afiksasi,0,0
tpi,tapi,Naura kamu suka squishy sma slime gk? Sma... kapn nih nau bikin event jadi temennaura busa kirim barang2 sma kamu..lagi pingin kirimin kamu barang tpi gk tau alamatnya d man?#nauraQnA @aku_naura,abreviasi,0,0
gk,enggak,Naura kamu suka squishy sma slime gk? Sma... kapn nih nau bikin event jadi temennaura busa kirim barang2 sma kamu..lagi pingin kirimin kamu barang tpi gk tau alamatnya d man?#nauraQnA @aku_naura,abreviasi,0,0
senengin,senangi,Naura kalau ada kesempatan lagi untuk konser kamu akan bertemakan apa ? Hal apa yang kamu senengin kalau lagi menyanyi? #NauraQnA,afiksasi,modifikasi vokal,0
ngasih,mengasih,Nau kamu ingin ngasih tiket ke mami papi kamu haji gk? #nauraQnA,afiksasi,0,0
asikkk,asik,Huhu kok jadi gini si steff?ga asikkk_-,elongasi,0,0
udh,sudah,Udh putus ama kak wilona?? @vyanevertary_,abreviasi,0,0
ama,sama,Udh putus ama kak wilona?? @vyanevertary_,zeroisasi,0,0
ampunnnn,ampun,Ini beneran ya ampunnnn yg 2thn aja putus apa lg yg 1bln @vyanevertary_,elongasi,0,0
bln,bulan,Ini beneran ya ampunnnn yg 2thn aja putus apa lg yg 1bln @vyanevertary_,abreviasi,0,0
senengg,senang,Senengg yaa @stefannwilliam goyang bang jalii teruzzz ..,elongasi,modifikasi vokal,0
teruzzz,terus,Senengg yaa @stefannwilliam goyang bang jalii teruzzz ..,subtitusi,elongasi,0
gtu,begitu,Loh kok gtu si,abreviasi,0,0
mantabb,mantab,Mantabb.. pilihan smart.. @stefannwilliam ?,elongasi,0,0
sumpahh,sumpah,cocok banget sumpahh,elongasi,0,0
yaa,ya,"Tetap profesional yaa kak @steeffawilliam dlam berakting, jangan terpancing dengan smua masalah diluarann , tunjukan yg trbaik untuk karirMu",elongasi,0,0
smua,semua,"Tetap profesional yaa kak @stefannwilliam dlam berakting, jangan terpancing dengan smua masalah diluarann , tunjukan yg trbaik untuk karirMu",zeroisasi,0,0
diluarann,diluaran,"Tetap profesional yaa kak @stefannwilliam dlam berakting, jangan terpancing dengan smua masalah diluarann , tunjukan yg trbaik untuk karirMu",elongasi,0,0
trbaik,terbaik,"Tetap profesional yaa kak @stefannwilliam dlam berakting, jangan terpancing dengan smua masalah diluarann , tunjukan yg trbaik untuk karirMu",abreviasi,0,0
dlam,dalam,"Tetap profesional yaa kak @stefannwilliam dlam berakting, jangan terpancing dengan smua masalah diluarann , tunjukan yg trbaik untuk karirMu",abreviasi,0,0
smua,semua,"Tetap profesional yaa kak @stefannwilliam dlam berakting, jangan terpancing dengan smua masalah diluarann , tunjukan yg trbaik untuk karirMu",zeroisasi,0,0
anjirrrr,anjir,Anjirrrr emosi kali liat foto ini ?? @cynthia23_,elongasi,0,0
jendess,janda,ini akun yg bikin si jendess @celine_evangelista perasaan dulu waktu sama wilona ga se alay ini dh...????,coinage,elongasi,0
dh,deh,ini akun yg bikin si jendess @celine_evangelista perasaan dulu waktu sama wilona ga se alay ini dh...????,abreviasi,0,0
sichh,sih,Stevan kok mau sichh,anaptiksis,elongasi,0
jgn,jangan,"? jgn sampai Tinggi Badan kamu menghambat Cita-cita pgn jd Polisi, Polwan, TNI, Pramugari, dll. Ready ? Suplement Peninggi Badan Terbaik Dunia ?? Terbuat dari bahan Herbal Alami. Follow@dokterbeauty/ Konsultasikan ? Pin 5FB42757 WA & Line cek di Bio. Tanpa efek samping, ada BPOM, HALAL MUI.",abreviasi,0,0
pgn,pengin,"? jgn sampai Tinggi Badan kamu menghambat Cita-cita pgn jd Polisi, Polwan, TNI, Pramugari, dll. Ready ? Suplement Peninggi Badan Terbaik Dunia ?? Terbuat dari bahan Herbal Alami. Follow@dokterbeauty/ Konsultasikan ? Pin 5FB42757 WA & Line cek di Bio. Tanpa efek samping, ada BPOM, HALAL MUI.",abreviasi,0,0
namnya,namanya,Ini baru namnya Janda semakin di depan hahahahha,abreviasi,0,0
kaka,kakak,Kaka gk cocok sama ka celene mending sama ka natasya apaan sama ka celene janda,zeroisasi,0,0
gk,enggak,Kaka gk cocok sama ka celene mending sama ka natasya apaan sama ka celene janda,abreviasi,0,0
ninggalin,meninggalkan,". Rela ninggalin ka natasya demi orng ini,  aduh kastefen kurang apa natasyaa (?)",afiksasi,0,0
orng,orang,". Rela ninggalin ka natasya demi orng ini,  aduh kastefen kurang apa natasyaa (?)",abreviasi,0,0
geh,gih,Pacaran geh ma janda,modifikasi vokal,0,0
ma,sama,Pacaran geh ma janda,zeroisasi,0,0
nggak,enggak,Nggak cocok cocok nya sma kk,zeroisasi,0,0
sma,sama,Nggak cocok cocok nya sma kk,abreviasi,0,0
kk,kakak,Nggak cocok cocok nya sma kk,abreviasi,0,0
ber2,berdua,Ko kalo sama ka wilona jarang post foto ber2,subtitusi,0,0
22nya,dua-duanya,22nya cantik dan suaranya Bagus ?,subtitusi,0,0
aduuhhh,aduh,Aduuhhh kakak kakak ku wkwkk,elongasi,0,0
miripp,mirip,Miripp,elongasi,0,0
silauuu,silau,Berasa silauuu,elongasi,0,0
waww,wow,Waww kerenn nanti ultah kafonya kita ke sini harapan wkwkwkwk @putridinarnacita,modifikasi vokal,elongasi,0
kerenn,keren,Waww kerenn nanti ultah kafonya kita ke sini harapan wkwkwkwk @putridinarnacita,elongasi,0,0
uga,juga,Cie nge-stalk uga @oliptheo_,zeroisasi,0,0
njiirr,anjir,Njiirr kok tau kau? @adewulansh,zeroisasi,elongasi,0
bgs,bagus,Dimana ini bgs bgt,abreviasi,0,0
bgt,banget,Dimana ini bgs bgt,abreviasi,0,0
kesinii,kesini,Ah mau kesinii gemay @zuldinayaka,elongasi,0,0
gemay,gemas,Ah mau kesinii gemay @zuldinayaka,subtitusi,0,0
dstu,disitu,Mahal bgt mam dstu,abreviasi,0,0
tmpt,tempat,Keren nih tmpt ..,abreviasi,0,0
wiiiihhhh,wih,Wiiiihhhh keren...,elongasi,0,0
samoga,semoga,Samoga bisa kesana aamiin,modifikasi vokal,0,0
aamiin,amin,Samoga bisa kesana aamiin,elongasi,0,0
kereennn,keren,Kereennn @septianhadipurnama,elongasi,0,0
cobaa,coba,"DULU AKU SAMPAI GK PERCAYA SAMA PRODUKNYA@QUEEN_BEAUTY_NATURAL YG KATANYA BISA MENINGGIKAN BADAN, TAPI AKU HERAN, AKU COBAA TUHH, WAHH GK NYANGKAA BANGET HASILNYAAA WAW BANGETTTT DAHHHH MANTAP :) MAKASIH  ANDA LUAR BIASA :) ADD 5D885B1C JAMINAN HARGA DISTRIBUTOR !!",elongasi,0,0
tuhh,tuh,"DULU AKU SAMPAI GK PERCAYA SAMA PRODUKNYA@QUEEN_BEAUTY_NATURAL YG KATANYA BISA MENINGGIKAN BADAN, TAPI AKU HERAN, AKU COBAA TUHH, WAHH GK NYANGKAA BANGET HASILNYAAA WAW BANGETTTT DAHHHH MANTAP :) MAKASIH  ANDA LUAR BIASA :) ADD 5D885B1C JAMINAN HARGA DISTRIBUTOR !!",elongasi,0,0
wahh,wah,"DULU AKU SAMPAI GK PERCAYA SAMA PRODUKNYA@QUEEN_BEAUTY_NATURAL YG KATANYA BISA MENINGGIKAN BADAN, TAPI AKU HERAN, AKU COBAA TUHH, WAHH GK NYANGKAA BANGET HASILNYAAA WAW BANGETTTT DAHHHH MANTAP :) MAKASIH  ANDA LUAR BIASA :) ADD 5D885B1C JAMINAN HARGA DISTRIBUTOR !!",elongasi,0,0
gk,enggak,"DULU AKU SAMPAI GK PERCAYA SAMA PRODUKNYA@QUEEN_BEAUTY_NATURAL YG KATANYA BISA MENINGGIKAN BADAN, TAPI AKU HERAN, AKU COBAA TUHH, WAHH GK NYANGKAA BANGET HASILNYAAA WAW BANGETTTT DAHHHH MANTAP :) MAKASIH  ANDA LUAR BIASA :) ADD 5D885B1C JAMINAN HARGA DISTRIBUTOR !!",abreviasi,0,0
nyangkaa,menyangka,"DULU AKU SAMPAI GK PERCAYA SAMA PRODUKNYA@QUEEN_BEAUTY_NATURAL YG KATANYA BISA MENINGGIKAN BADAN, TAPI AKU HERAN, AKU COBAA TUHH, WAHH GK NYANGKAA BANGET HASILNYAAA WAW BANGETTTT DAHHHH MANTAP :) MAKASIH  ANDA LUAR BIASA :) ADD 5D885B1C JAMINAN HARGA DISTRIBUTOR !!",afiksasi,elongasi,0
hasilnyaaa,hasilnya,"DULU AKU SAMPAI GK PERCAYA SAMA PRODUKNYA@QUEEN_BEAUTY_NATURAL YG KATANYA BISA MENINGGIKAN BADAN, TAPI AKU HERAN, AKU COBAA TUHH, WAHH GK NYANGKAA BANGET HASILNYAAA WAW BANGETTTT DAHHHH MANTAP :) MAKASIH  ANDA LUAR BIASA :) ADD 5D885B1C JAMINAN HARGA DISTRIBUTOR !!",elongasi,0,0
bangetttt,banget,"DULU AKU SAMPAI GK PERCAYA SAMA PRODUKNYA@QUEEN_BEAUTY_NATURAL YG KATANYA BISA MENINGGIKAN BADAN, TAPI AKU HERAN, AKU COBAA TUHH, WAHH GK NYANGKAA BANGET HASILNYAAA WAW BANGETTTT DAHHHH MANTAP :) MAKASIH  ANDA LUAR BIASA :) ADD 5D885B1C JAMINAN HARGA DISTRIBUTOR !!",elongasi,0,0
dahhhh,dah,"DULU AKU SAMPAI GK PERCAYA SAMA PRODUKNYA@QUEEN_BEAUTY_NATURAL YG KATANYA BISA MENINGGIKAN BADAN, TAPI AKU HERAN, AKU COBAA TUHH, WAHH GK NYANGKAA BANGET HASILNYAAA WAW BANGETTTT DAHHHH MANTAP :) MAKASIH  ANDA LUAR BIASA :) ADD 5D885B1C JAMINAN HARGA DISTRIBUTOR !!",elongasi,0,0
cmn,cuman,teteh alis kita mirip ya. cmn nasibnya doang yg beda...,abreviasi,0,0
mudah2,mudah-mudah,Beda atuh do diamah lebih cantik ?tapi mudah2 karir nya sama kaya gua ?@masihkuper_,reduplikasi,0,0
bisaa,bisa,Bisaa apa yang? @dias_prayoga,elongasi,0,0
jugaakk,juga,Yang cunong potong rambut kek gini boleh ga ? buang stres jugaakk yang ? @agus.dap,elongasi,anaptiksis,0
prnh,pernah,Isyana alisnya ga prnh diapa2in yaak,abreviasi,0,0
diapa2in,diapa-apai,Isyana alisnya ga prnh diapa2in yaak,reduplikasi,afiksasi,0
yaak,ya,Isyana alisnya ga prnh diapa2in yaak,elongasi,anaptiksis,0
lhoo,loh,Jujur aku jatuh cinta sma alis matamu itu lhoo...,anaptiksis,zeroisasi,0
mnta,minta,Mnta pin bbny donx isyana,abreviasi,0,0
donx,dong,Mnta pin bbny donx isyana,subtitusi,0,0
kyk,kayak,Kyk gini umm ?@syajaroh_hijab,abreviasi,0,0
gthu,begitu,Iya modelnya gthu ... tp diriku lebih panjang @ndani25 ?,abreviasi,anaptiksis,0
nda,indak,Nda maauuu... jd ke embemen @ndani25 ..hihii,zeroisasi,0,0
maauuu,mau,Nda maauuu... jd ke embemen @ndani25 ..hihii,elongasi,0,0
pacarrr,pacar,Pacarrr idamann ???,elongasi,0,0
idamann,idaman,Pacarrr idamann ???,elongasi,0,0
naturalllll,natural,Naturalllll,elongasi,0,0
bnyak,banyak,Chelsea glen dulu gitu kali .. bnyak kayak gitu tp bedanya mereka gak berntung merka bisa jln2 romntis heheh,abreviasi,0,0
berntung,beruntung,Chelsea glen dulu gitu kali .. bnyak kayak gitu tp bedanya mereka gak berntung merka bisa jln2 romntis heheh,abreviasi,0,0
merka,mereka,Chelsea glen dulu gitu kali .. bnyak kayak gitu tp bedanya mereka gak berntung merka bisa jln2 romntis heheh,abreviasi,0,0
jln2,jalan-jalan,Chelsea glen dulu gitu kali .. bnyak kayak gitu tp bedanya mereka gak berntung merka bisa jln2 romntis heheh,abreviasi,reduplikasi,0
romntis,romantis,Chelsea glen dulu gitu kali .. bnyak kayak gitu tp bedanya mereka gak berntung merka bisa jln2 romntis heheh,abreviasi,0,0
slamat,selamat,Slamat ulan tahun buat ka cassi,zeroisasi,0,0
ulan,ulang,Slamat ulan tahun buat ka cassi,abreviasi,0,0
th,tahun,"15 th aja udah dikasih kek gini sama pacarnya, kamu 19 dikasih apa sama pacar? *oia lupa kamu kan gapunya pacar? @luluanjani",abreviasi,0,0
mngkin,mungkin,Dede mimpimu mngkin klau saya mau diksi bgini!?? @shlsabl @nrulftmh,abreviasi,0,0
klau,kalau,Dede mimpimu mngkin klau saya mau diksi bgini!?? @shlsabl @nrulftmh,zeroisasi,0,0
diksi,dikasih,Dede mimpimu mngkin klau saya mau diksi bgini!?? @shlsabl @nrulftmh,abreviasi,0,0
bgini,begini,Dede mimpimu mngkin klau saya mau diksi bgini!?? @shlsabl @nrulftmh,abreviasi,0,0
sipp,sip,Beda setahun sama gua sipp.... masi smp cas? @cassandraslee,elongasi,0,0
masi,masih,Beda setahun sama gua sipp.... masi smp cas? @cassandraslee,zeroisasi,0,0
taun,tahun,15 taun ? @krtkcndr @tyrakrn_ @laksitawp_,zeroisasi,0,0
jugak,juga,"-,- ya gak harus sama dia jugak. Nek sama dia, Kayak nungguin siput ngeluarin lagu pop? @esy_fanesy",anaptiksis,0,0
nungguin,menunggu,"-,- ya gak harus sama dia jugak. Nek sama dia, Kayak nungguin siput ngeluarin lagu pop? @esy_fanesy",afiksasi,0,0
ngeluarin,mengeluarkan,"-,- ya gak harus sama dia jugak. Nek sama dia, Kayak nungguin siput ngeluarin lagu pop? @esy_fanesy",afiksasi,0,0
keciill,kecil,Gini mau? Nanti tak ajak cowo mu sekalian gapapa. Nggak ngrepotin kok. Santai aja. Gini aja ya ntar buat ultah mu. Keciill. :V @auliafdt,elongasi,0,0
ughaa,juga,My baby? Bedak kali ah my baby... tp sosweet ughaa,zeroisasi,anaptiksis,elongasi
"tante""",tante-tante,"Lah dikira mah casie 20thn baru 15thn udah kaya tante"" boros amat",reduplikasi,0,0
thn,tahun,Gila cewenya 15 thn ca?? @keishans_,abreviasi,0,0
ngerasa,merasa,15 tahun ? whaatt ngerasa tua banget gw ?,afiksasi,0,0
gw,gue,15 tahun ? whaatt ngerasa tua banget gw ?,homofon,abreviasi,0
banged,banget,Subhanallah..ka @dewisandra  cantik banged..persis kaya barbie ??,subtitusi,homofon,0
abeees,habis,Subhanallah bule abeees,modifikasi vokal,zeroisasi,elongasi
kapan2,kapan-kapan,Kapan2 adain M A G di bekasi dong bun,reduplikasi,0,0
adain,mengadakan,Kapan2 adain M A G di bekasi dong bun,afiksasi,0,0
bsa,bisa,pengen ketemu sama kk @dewisandra .... tapi itu mustahil... gak mungkin bsa.... :(,abreviasi,0,0
gk,enggak,Suka banget sama mbak @dewisandra .. Gk bosen2 ?,abreviasi,0,0
bosen2,bosan-bosan,Suka banget sama mbak @dewisandra .. Gk bosen2 ?,reduplikasi,modifikasi vokal,0
sempurnaaaaa,sempurna,Sempurnaaaaa,elongasi,0,0
kaan,kan,"Tuh kaan, apalagi photo ini. Kaya barbie bgt kaa @dewisandra",elongasi,0,0
kece2,kece-kece,"Hai girls, yu Follow n order Softlens dari @harajukusoftlens Softlens nya Kece2 badaaiii. Banyak pilihan warna merk n Motif yg super keren. Bikin Mata makin cantik memukau shine Maksimal. Harga terjangkau gak bikin kantong Bolong. Paket lengkap juga ada. Free Ongkir pula seluruh indonesia kakak. Yu order girls!!?",reduplikasi,0,0
badaaiii,badai,"Hai girls, yu Follow n order Softlens dari @harajukusoftlens Softlens nya Kece2 badaaiii. Banyak pilihan warna merk n Motif yg super keren. Bikin Mata makin cantik memukau shine Maksimal. Harga terjangkau gak bikin kantong Bolong. Paket lengkap juga ada. Free Ongkir pula seluruh indonesia kakak. Yu order girls!!?",elongasi,0,0
beneraan,benaran,Aku bilang k Dewi Sandra itu mirip bgt kyk barbie... beneraan. cantiiik bgtt... :3 :3 :3,modifikasi vokal,elongasi,0
cantiiik,cantik,Aku bilang k Dewi Sandra itu mirip bgt kyk barbie... beneraan. cantiiik bgtt... :3 :3 :3,elongasi,0,0
bgtt,banget,Aku bilang k Dewi Sandra itu mirip bgt kyk barbie... beneraan. cantiiik bgtt... :3 :3 :3,abreviasi,elongasi,0
kuatttt,kuat,Cantik gak kuatttt @,elongasi,0,0
cantiiiiiiik,cantik,Cantiiiiiiik,elongasi,0,0
cantiknyaaa,cantiknya,Cantiknyaaa bikin pgn ikut hijab.. .. :) @mutiaraannisa @gendiswibisana @vitriiskandar @keyfalevana @hanydahirzy,elongasi,0,0
pgn,pengin,Cantiknyaaa bikin pgn ikut hijab.. .. :) @mutiaraannisa @gendiswibisana @vitriiskandar @keyfalevana @hanydahirzy,abreviasi,0,0
bae2,baik-baik,@fanistep bae2 dikomen lg?,reduplikasi,zeroisasi,modifikasi vokal
lg,lagi,@fanistep bae2 dikomen lg?,abreviasi,0,0
cantikkk,cantik,Cantikkk,elongasi,0,0
bgd,banget,cantik bgd mb @dewisandra ?,abreviasi,subtitusi,homofon
mb,mbak,cantik bgd mb @dewisandra ?,abreviasi,0,0
catiiiiik,cantik,Catiiiiik,abreviasi,elongasi,0
bangeet,banget,"kk cantik bangeet,aku ngfans banget sama kk..",elongasi,0,0
subahanallah,subhanallah,Subahanallah,anaptiksis,0,0
cantikkk,cantik,Cantikkk bgt,elongasi,0,0
bgt,banget,Cantikkk bgt,abreviasi,0,0
jaman2nya,jaman-jamannya,Fashion ootd lengkap dan murah. Lagi jaman2nya nih kualitas oke,reduplikasi,0,0
dapetin,mendapati,TAU GAK AKU UDAH PAKE BANYAK SEKALI PRODUK PEMBESAR PAYUDARA MULAI DARI KRIM SAMPE SEGALA MACAM UDAH AKU COBA TAPI GAK ADA YANG BERHASIL SAMA SEKALI :( TAPI SEMENJAK AKU PAKE ALAT MHCA DARI@QUEEN_BEAUTY_NATURAL  AKHIRNYA SEMUANYA BERUBAH HANYA DALAM WAKTU 3 MINGGU AKU BERHASIL DAPETIN PAYUDARA YANG IDEAL BESAR DAN PADET KALO GA PERCAYA BUKTIIN SENDIRI DEH NIH PIN NYA BBM: 5D885B1C,afiksasi,0,0
